City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
346,Funadhoo,MV,80.74,6.15,73.2667,Dhaffalhu Tourist Lodge
347,Alugan,PH,80.31,12.2188,125.4808,JM Lodge
349,Harper,LR,78.31,4.375,-7.7169,Screensaver
350,Buala,SB,79.5,-8.145,159.5921,Maringe Lagoon Lodge
357,Cururupu,BR,76.14,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
359,Vao,NC,79.14,-22.6667,167.4833,Hotel Kou-Bugny
366,Kloulklubed,PW,84.7,7.0419,134.2556,Carp Island Resort
367,Itarema,BR,79.05,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
374,Bontang,ID,84.31,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
377,Bosobolo,CD,77.38,4.1833,19.9,
385,Road Town,VG,77.0,18.4167,-64.6167,Long Bay Beach Resort
386,Hervey Bay,AU,89.04,-25.2986,152.8535,Shelly Bay Resort
388,Sulangan,PH,80.92,11.1373,123.7228,OYO 514 Adelaida Pensionne Hotel
393,Honiara,SB,81.32,-9.4333,159.95,Heritage Park Hotel
397,Dawei,MM,85.35,14.0833,98.2,Hotel Dawei
399,Tucuman,AR,77.0,-26.8241,-65.2226,Dallas Hotel Tucuman
402,Cayenne,GF,78.1,4.9333,-52.3333,Hôtel Le Dronmi
405,Delta Del Tigre,UY,76.19,-34.7633,-56.3853,Casa Amarilla
411,Saint-Leu,RE,79.66,-21.15,55.2833,La Caz Oceane
412,Sao Jose Da Coroa Grande,BR,78.87,-8.8978,-35.1478,Grand Oca Maragogi
418,Manta,EC,78.58,-0.95,-80.7333,Balandra Hotel
420,San Rafael Del Sur,NI,79.77,11.8485,-86.4384,Barceló Montelimar
425,Batemans Bay,AU,75.2,-35.7167,150.1833,Batemans Bay Marina Resort
427,Champerico,GT,80.35,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
432,Yeppoon,AU,89.38,-23.1333,150.7333,Villa Mar Colina
433,Buchanan,LR,75.16,5.8808,-10.0467,Kamaneahn Hotel Inc
436,Panama City,PA,80.55,8.9936,-79.5197,Riande Urban Hotel
437,Vanimo,PG,82.54,-2.6741,141.3028,Vahmoneh Lodge Vanimo
441,Lorengau,PG,78.64,-2.0226,147.2712,Lorengau Harbourside Hotel
444,Maragogi,BR,78.49,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
447,Taytayan,PH,77.16,7.7339,126.5019,Edar's Place
452,Belmonte,BR,79.3,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
458,Ransang,PH,83.55,8.9603,117.5828,Palawan Ecolodge
460,Sapa,PH,82.89,5.1544,120.3241,
464,Oeiras,BR,75.15,-7.0253,-42.1311,Hotel SESC Oeiras
475,Aquiraz,BR,81.18,-3.9014,-38.3911,Hotel Laguna Blu
479,Cabedelo,BR,81.27,-6.9811,-34.8339,Union Motel
480,Bonfim,BR,79.74,3.0833,-59.95,
486,Naranjal,EC,80.4,-2.6667,-79.6167,Media Naranja
490,Micheweni,TZ,79.5,-4.9667,39.8333,Pemba Raha Resort
493,San Andres,CO,80.62,12.5847,-81.7006,Hotel Arena Blanca
500,Kuala Lumpur,MY,88.95,3.1431,101.6865,Le Méridien Kuala Lumpur
504,Port Shepstone,ZA,76.05,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
508,Madang,PG,85.14,-5.2246,145.7966,Comfort Inn Hotel
509,Inirida,CO,75.18,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
510,Clarence Town,AU,75.81,-32.5833,151.7833,River Downs Cottage
511,Warri,NG,75.42,5.5167,5.75,BON Hotel Delta
514,Port-Gentil,GA,80.19,-0.7193,8.7815,Fengshui Residence
516,Oriximina,BR,75.13,-1.7656,-55.8661,Pousada Tia Amélia
517,Kununurra,AU,87.78,-15.7667,128.7333,Hotel Kununurra
519,Eydhafushi,MV,81.5,5.1033,73.0708,Royal Island Resort & Spa in Maldives
530,Finschhafen,PG,84.61,-6.6024,147.8681,Cossam Guest House
537,Kudahuvadhoo,MV,81.61,2.6708,72.8944,Niyama Private Islands Maldives
538,Kahului,US,83.46,20.8947,-156.47,Maui Seaside Hotel
541,Sokoni,TZ,80.2,-6.4333,39.55,Ujamaa Beach Resort
545,Ratchaburi,TH,89.92,13.5833,99.5333,Sanita Cottage
550,Hobyo,SO,77.61,5.3505,48.5268,Halane Hotel and Restaurent
553,Muli,MV,81.88,2.9167,73.5667,Medhufushi Island Resort
556,La Romana,DO,78.53,18.4273,-68.9728,Casa de Campo Resort and Villas
557,Saint-Pierre,RE,80.28,-21.3393,55.4781,Hôtel Le Soleil Couchant
562,Soe,ID,79.92,-9.8607,124.284,Dena Hotel
572,San Alberto,CO,77.85,7.7611,-73.3922,Hotel San Alberto Plaza
573,Kaeo,NZ,75.33,-35.1,173.7833,Sunseeker Lodge
574,Prado,BR,76.51,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
