City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Cabo San Lucas,MX,2022-02-03 02:40:26,22.8909,-109.9124,71.51,69,100,1.99
152,Lubango,AO,2022-02-03 02:40:27,-14.9172,13.4925,56.79,53,12,1.45
153,Lima,PE,2022-02-03 02:40:27,-12.0432,-77.0282,71.38,81,0,1.01
154,Port Elizabeth,ZA,2022-02-03 02:40:28,-33.918,25.5701,71.1,88,75,14.97
155,Serenje,ZM,2022-02-03 02:40:28,-13.2325,30.2352,61.2,96,45,2.75
156,Tianjin,CN,2022-02-03 02:40:29,39.1422,117.1767,30.15,43,0,11.18
157,Merauke,ID,2022-02-03 02:40:29,-8.4667,140.3333,84.31,64,99,10.42
158,Prince Rupert,CA,2022-02-03 02:40:30,54.3161,-130.3201,39.29,100,100,4.61
159,Bambous Virieux,MU,2022-02-03 02:40:30,-20.3428,57.7575,80.22,94,75,25.32
160,Wajir,KE,2022-02-03 02:40:31,1.7471,40.0573,76.17,77,100,10.71
161,Igarka,RU,2022-02-03 02:40:31,67.4667,86.5833,-6.83,99,99,7.25
162,Porto Novo,BJ,2022-02-03 02:40:31,6.4965,2.6036,80.42,85,32,3.62
163,Rawson,AR,2022-02-03 02:40:32,-43.3002,-65.1023,67.62,54,84,7.14
164,Venice,US,2022-02-03 02:39:21,27.0998,-82.4543,69.98,81,20,6.91
165,Charters Towers,AU,2022-02-03 02:40:32,-20.1,146.2667,88.27,58,100,6.33
166,Saint Anthony,US,2022-02-03 02:40:33,45.0205,-93.218,1.92,62,0,5.99
167,Salalah,OM,2022-02-03 02:40:33,17.0151,54.0924,75.29,23,0,6.91
168,Praxedis Guerrero,MX,2022-02-03 02:40:34,31.3667,-106.0167,44.19,60,97,9.91
169,Isangel,VU,2022-02-03 02:40:34,-19.55,169.2667,89.71,70,75,4.61
170,Jutai,BR,2022-02-03 02:40:35,-5.1833,-68.9,73.51,95,100,2.39
171,Lillesand,NO,2022-02-03 02:40:35,58.2488,8.3778,30.24,93,75,4.61
172,Gambela,ET,2022-02-03 02:40:35,8.25,34.5833,80.1,37,60,2.89
173,Teacapan,MX,2022-02-03 02:40:36,22.55,-105.75,65.71,71,6,2.3
174,Cidreira,BR,2022-02-03 02:40:36,-30.1811,-50.2056,75.74,87,5,20.18
175,Namatanai,PG,2022-02-03 02:40:37,-3.6667,152.4333,79.27,83,100,8.86
176,Vigrestad,NO,2022-02-03 02:40:37,58.5667,5.7,41.0,96,100,11.23
177,Ahipara,NZ,2022-02-03 02:40:38,-35.1667,173.1667,75.38,65,89,14.2
178,Ariquemes,BR,2022-02-03 02:39:46,-9.9133,-63.0408,72.52,98,100,1.32
179,Hamada,JP,2022-02-03 02:40:39,34.8833,132.0833,45.32,55,73,14.45
180,Tautira,PF,2022-02-03 02:40:39,-17.7333,-149.15,87.82,79,28,22.53
181,Salamiyah,SY,2022-02-03 02:40:40,35.0113,37.0532,47.08,52,55,16.33
182,Odweyne,SO,2022-02-03 02:41:40,9.4092,45.064,63.23,36,1,8.77
183,Skibbereen,IE,2022-02-03 02:41:41,51.55,-9.2667,50.11,87,99,10.47
184,North Platte,US,2022-02-03 02:41:41,41.1239,-100.7654,10.29,37,100,10.36
185,Bubaque,GW,2022-02-03 02:37:29,11.2833,-15.8333,77.52,79,13,6.93
186,Venado Tuerto,AR,2022-02-03 02:37:34,-33.7456,-61.9688,68.79,87,98,10.83
187,Beloha,MG,2022-02-03 02:41:42,-25.1667,45.05,68.59,82,0,9.78
188,Klyuchi,RU,2022-02-03 02:41:42,52.2667,79.1667,-4.99,100,90,5.03
189,Sampit,ID,2022-02-03 02:41:43,-2.5333,112.95,82.51,80,92,0.63
190,Kyzyl-Suu,KG,2022-02-03 02:41:44,42.3414,78.0056,23.92,79,100,6.08
191,Aljezur,PT,2022-02-03 02:41:44,37.3191,-8.8033,51.91,80,100,5.08
192,Trairi,BR,2022-02-03 02:41:44,-3.2778,-39.2689,77.4,85,94,6.33
193,Maturin,VE,2022-02-03 02:41:45,9.75,-63.1767,70.95,94,0,5.75
194,Pangai,TO,2022-02-03 02:37:19,-19.8,-174.35,82.06,72,27,9.06
195,Solnechnyy,RU,2022-02-03 02:41:46,50.7214,136.6319,5.02,87,96,2.17
196,Geraldton,AU,2022-02-03 02:41:46,-28.7667,114.6,99.01,12,0,28.77
197,Kiunga,PG,2022-02-03 02:41:47,-6.1219,141.2906,92.97,41,97,3.13
198,Bucine,IT,2022-02-03 02:41:47,43.4764,11.6148,45.99,80,0,2.91
199,Lufilufi,WS,2022-02-03 02:41:48,-13.8745,-171.5986,85.78,76,100,13.35
200,Puerto Leguizamo,CO,2022-02-03 02:41:48,-0.1934,-74.7819,75.0,73,37,1.81
201,Tasiilaq,GL,2022-02-03 02:41:49,65.6145,-37.6368,10.56,77,98,7.0
202,Longyearbyen,SJ,2022-02-03 02:41:49,78.2186,15.6401,17.44,57,0,20.71
203,Lebu,CL,2022-02-03 02:41:49,-37.6167,-73.65,59.2,91,74,9.66
204,Yellowknife,CA,2022-02-03 02:37:41,62.456,-114.3525,-28.71,83,20,5.75
205,Aksu,CN,2022-02-03 02:41:50,41.1231,80.2644,26.6,44,100,3.11
206,Tutoia,BR,2022-02-03 02:41:51,-2.7619,-42.2744,82.38,77,87,11.01
207,Teahupoo,PF,2022-02-03 02:41:51,-17.8333,-149.2667,82.36,79,32,22.35
208,Stornoway,GB,2022-02-03 02:40:03,58.2093,-6.3865,48.16,92,75,7.0
209,Vila Velha,BR,2022-02-03 02:41:52,-20.3297,-40.2925,76.95,94,75,1.01
210,Beauvais,FR,2022-02-03 02:41:53,49.4167,2.0,46.8,81,100,1.01
211,Sola,VU,2022-02-03 02:41:53,-13.8833,167.55,81.46,76,100,13.15
212,Celestun,MX,2022-02-03 02:41:53,20.8667,-90.4,79.56,63,0,15.01
213,Canto Do Buriti,BR,2022-02-03 02:41:54,-8.11,-42.9444,78.42,59,91,0.54
214,Mount Gambier,AU,2022-02-03 02:37:55,-37.8333,140.7667,64.31,52,100,18.41
